Anatomy OBO ID	Anatomy Name	Anatomy Synonym	
ZFA:0005640	cleithrum-vertebral ligament	Baudelot's ligament
ZFA:0001711	climbing fiber	climbing fibers
ZFA:0000330	cloacal chamber	cloaca lumen
ZFA:0009191	CNS interneuron	CNS interneurons
ZFA:0009195	CNS long range interneuron	CNS long range interneurons
ZFA:0009067	CNS neuron (sensu Vertebrata)	CNS neurons (sensu Vertebrata)
ZFA:0009194	CNS short range interneuron	CNS short range interneurons
ZFA:0000145	CNS white matter	CNS tract/commissure
ZFA:0005186	CoB	bifurcate commissural interneuron
ZFA:0005230	CoBL	commissural bifurcating longitudinal
ZFA:0001438	coelom	body cavity
ZFA:0005234	CoLA	commissural longitudinal ascending interneuron
ZFA:0001186	collagenous dermal stroma	primary dermal stroma
ZFA:0009287	collagen secreting cell	collagen secreting cells
ZFA:0009314	columnar chondrocyte	columnar chondrocytes
ZFA:0009038	columnar/cuboidal epithelial cell	columnar/cuboidal epithelial cells
ZFA:0000490	commissura cerebelli	cerebellar commissure
ZFA:0000638	commissura rostral, pars dorsalis	commissura anterior, pars dorsalis
ZFA:0000185	commissura rostral, pars ventralis	commissura anterior, pars ventralis
ZFA:0000331	commissure infima of Haller	commissura infima Halleri
ZFA:0000331	commissure infima of Haller	commissura infima of Haller
ZFA:0000491	commissure of the caudal tuberculum	Ctub
ZFA:0000491	commissure of the caudal tuberculum	commissura tuberculi posterioris
ZFA:0000491	commissure of the caudal tuberculum	CPT
ZFA:0000491	commissure of the caudal tuberculum	commissure of the posterior tuberculum
ZFA:0000639	commissure of the secondary gustatory nucleus	commissure of the secondary gustatory nuclei
ZFA:0000639	commissure of the secondary gustatory nucleus	commissura nucleorum gustatoriorum secundariorum
ZFA:0005877	commissure of the tract of the commissure of the caudal tuberculum	Commissure of the TCPT
ZFA:0000186	common cardinal vein	duct of Cuvier
ZFA:0009023	common lymphoid progenitor	committed lymphopoietic stem cell
ZFA:0009023	common lymphoid progenitor	early lymphocyte progenitor
ZFA:0009023	common lymphoid progenitor	lymphoid stem cell
ZFA:0009023	common lymphoid progenitor	lymphopoietic stem cell
ZFA:0009023	common lymphoid progenitor	CLP
ZFA:0009023	common lymphoid progenitor	ELP
ZFA:0009021	common myeloid progenitor	pluripotent stem cell (bone marrow)
ZFA:0009021	common myeloid progenitor	colony forming unit granulocyte, erythrocyte, macrophage, and megakaryocyte
ZFA:0009021	common myeloid progenitor	CMP
ZFA:0009021	common myeloid progenitor	myeloid stem cell
ZFA:0009021	common myeloid progenitor	multipotential myeloid stem cell
ZFA:0005051	communicating vessel palatocerebral artery	communicating vessels
ZFA:0005051	communicating vessel palatocerebral artery	CMV
ZFA:0000496	compound organ	organ
ZFA:0001489	compound organ component	compound organ components
ZFA:0005013	concurrent branch afferent branchial artery	CCB
ZFA:0009322	cone retinal bipolar cell	cone retinal bipolar cells
ZFA:0007050	constrictor dorsalis	constrictors dorsalis
ZFA:0005175	CoPA	primary commissural interneuron
ZFA:0001220	copula	copulae
ZFA:0001221	copula 1	anterior copula
